ticker,name,bucket,bucket_name,search_tier,training_enabled,priority,reason,fold_count,raw_pr_auc_mean,raw_pr_auc_std,raw_pr_auc_min,raw_roc_auc_mean,balanced_accuracy_mean,top_10pct_precision_mean
005930,삼성전자,semiconductor,반도체,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
000660,SK하이닉스,semiconductor,반도체,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.3156632886032909,0.2647934846178242,0.0540943822118156,0.4670764972274406,0.4362100792289471,0.3333333333333333
042700,한미반도체,semiconductor,반도체,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.3235933277026774,0.1832003191740122,0.1123953291144076,0.4098984082464968,0.4167455722927771,0.1999999999999999
058470,리노공업,semiconductor,반도체,middle_search,True,200,usable but not robust; focused search,5.0,0.3613903185568032,0.0736014710536793,0.2869135963086919,0.5234688630552278,0.4989006141168118,0.25
039030,이오테크닉스,semiconductor,반도체,strong_lock,False,0,robust Meta-OOS performance; preserve current model,5.0,0.5733166297869727,0.1806018854381571,0.2874629438964341,0.6859368103499104,0.5385654965426745,0.58
403870,HPSP,semiconductor,반도체,strong_lock,False,0,robust Meta-OOS performance; preserve current model,4.0,0.6834154436574208,0.1754499691678912,0.471405082491736,0.8182489533492823,0.6397978255297334,0.6666666666666667
005380,현대차,automotive,자동차,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
000270,기아,automotive,자동차,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
012330,현대모비스,automotive,자동차,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
018880,한온시스템,automotive,자동차,middle_search,True,200,usable but not robust; focused search,5.0,0.3959941227358189,0.0668005434080501,0.326330005191872,0.6052164321758113,0.5028805865329484,0.35
161390,한국타이어앤테크놀로지,automotive,자동차,strong_lock,False,0,robust Meta-OOS performance; preserve current model,3.0,0.5762911390876809,0.1587380315896553,0.4736458838691491,0.7603487904543179,0.6435827160832824,0.6666666666666666
204320,HL만도,automotive,자동차,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.251296129592548,0.2324266189723952,0.066627551438163,0.5030955896170726,0.4844355653454325,0.22
373220,LG에너지솔루션,battery_materials,배터리·소재,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.4212527972477999,0.2865819308972223,0.0851367046488997,0.6608557050934547,0.5642483067032016,0.4
006400,삼성SDI,battery_materials,배터리·소재,middle_search,True,200,usable but not robust; focused search,5.0,0.5088390819091898,0.2144838759312232,0.2947196961269047,0.678722749012813,0.5879075246878543,0.5000000000000001
051910,LG화학,battery_materials,배터리·소재,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.4648354847378528,0.2089903053798276,0.1194484169878874,0.5785630014050247,0.5002232526821047,0.5
247540,에코프로비엠,battery_materials,배터리·소재,middle_search,True,200,usable but not robust; focused search,5.0,0.4971032006943837,0.1518739532154377,0.3275959006224642,0.5209991055932656,0.4963991689805994,0.5333333333333334
086520,에코프로,battery_materials,배터리·소재,middle_search,True,200,usable but not robust; focused search,5.0,0.561783214145073,0.136491862820636,0.3764901244189454,0.58343656757988,0.500786456706616,0.6
003670,포스코퓨처엠,battery_materials,배터리·소재,middle_search,True,200,usable but not robust; focused search,5.0,0.5717483777067771,0.1145530462348261,0.409720155130756,0.5855943368149107,0.5475047830889695,0.65
207940,삼성바이오로직스,bio_healthcare,바이오·헬스케어,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
068270,셀트리온,bio_healthcare,바이오·헬스케어,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
196170,알테오젠,bio_healthcare,바이오·헬스케어,strong_lock,False,0,robust Meta-OOS performance; preserve current model,5.0,0.6755379006893524,0.1434510163984704,0.4908100521322346,0.8128259596637978,0.5799673202614379,0.75
326030,SK바이오팜,bio_healthcare,바이오·헬스케어,middle_search,True,200,usable but not robust; focused search,4.0,0.4006135011574624,0.1935626967306349,0.1217024626138992,0.6314410824337379,0.5530772930920271,0.275
000100,유한양행,bio_healthcare,바이오·헬스케어,middle_search,True,200,usable but not robust; focused search,3.0,0.3760791949205957,0.17390996244635,0.1759744748186801,0.5452024513313273,0.544973544973545,0.3888888888888888
128940,한미약품,bio_healthcare,바이오·헬스케어,middle_search,True,200,usable but not robust; focused search,4.0,0.4715738815438141,0.2760199045423876,0.2329423766093594,0.6987037770965399,0.5364017258593639,0.575
035420,NAVER,internet_gaming,인터넷·게임,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.4669361663670298,0.4050369854721108,0.1124338624338624,0.7914359335839598,0.6436038011695907,0.4583333333333333
035720,카카오,internet_gaming,인터넷·게임,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.3448984864222882,0.1433849329445737,0.1740602930423976,0.6331955340709503,0.5396045357281724,0.3
259960,크래프톤,internet_gaming,인터넷·게임,middle_search,True,200,usable but not robust; focused search,3.0,0.3653915575800404,0.1447863956077457,0.2360354073958316,0.676801390795494,0.6202504648054268,0.3333333333333333
036570,엔씨소프트,internet_gaming,인터넷·게임,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.2706358437295804,0.1199533867771114,0.1200754271033308,0.4600059873884524,0.4936193869734483,0.2833333333333333
263750,펄어비스,internet_gaming,인터넷·게임,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.4808695682804588,0.3214781973579376,0.1448020089760592,0.5548461812470686,0.5416547144938213,0.475
293490,카카오게임즈,internet_gaming,인터넷·게임,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.4384323571270375,0.3150053586534454,0.1322241323275487,0.5606650467156352,0.4524476161171458,0.3958333333333333
105560,KB금융,finance,금융,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,3.0,0.5124058062706635,0.4570195808144751,0.0938064670607746,0.7089089805033907,0.7383283371399569,0.4583333333333333
055550,신한지주,finance,금융,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
086790,하나금융지주,finance,금융,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.4775931171009982,0.4503373471258643,0.0446469944119285,0.6667149170274169,0.4981398809523809,0.4166666666666666
316140,우리금융지주,finance,금융,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
024110,기업은행,finance,금융,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
138930,BNK금융지주,finance,금융,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,3.0,0.4457627060363989,0.3893846153604254,0.0533459595959595,0.6499341695742623,0.6760549248939342,0.3888888888888889
012450,한화에어로스페이스,defense_nuclear,방산·원전,middle_search,True,200,usable but not robust; focused search,5.0,0.4851487498606605,0.1289739226952266,0.3346734633147811,0.5457926651193803,0.5162001402852467,0.4333333333333333
079550,LIG넥스원,defense_nuclear,방산·원전,strong_lock,False,0,robust Meta-OOS performance; preserve current model,5.0,0.6177935863375394,0.0675893215705228,0.5575272556451989,0.6774129497177035,0.6201895727362621,0.725
047810,한국항공우주,defense_nuclear,방산·원전,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.2415066312991073,0.1823851745942857,0.0381677284979171,0.5981194087807997,0.5490530109566562,0.15
